,Cities,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,port blair,in,14.749788371678648,90.40056991439496,79.49,100.0,92.0,23.09
1,barrow,us,84.80968557559183,-150.8718328518593,37.46,47.0,0.0,3.06
2,rikitea,pf,-31.288313311548706,-112.01762476533563,72.83,100.0,0.0,13.8
4,tasiilaq,gl,55.67845104847291,-34.01694468013483,41.87,100.0,88.0,0.04
6,yellowknife,ca,68.38826559047033,-106.94684757981676,51.8,71.0,75.0,10.29
7,trinidad,bo,-15.176476209355144,-65.57826897004811,46.4,61.0,0.0,6.93
8,busselton,au,-38.16569056949368,94.51253810687894,53.39,100.0,88.0,8.21
9,pisco,pe,-18.28356034964304,-82.89696113506152,71.6,30.0,0.0,8.05
10,rikitea,pf,-48.01654121785673,-123.08491597810357,72.83,100.0,0.0,13.8
11,severo-kurilsk,ru,39.57323299967402,166.29711590078455,52.4,95.0,68.0,4.97
13,nizhnyaya tura,ru,58.58703272703568,59.996424228563626,56.9,94.0,92.0,5.97
14,khandyga,ru,64.7824550571153,135.92842186546187,57.44,84.0,0.0,3.18
15,new norfolk,au,-88.59269399200844,119.4369028689373,50.0,57.0,75.0,14.99
17,verkh-usugli,ru,53.84448441611903,115.48007645992851,60.95,76.0,68.0,3.4
18,saskylakh,ru,88.52277035650616,110.33748812512476,47.99,90.0,0.0,5.97
19,the valley,ai,24.400816833236107,-60.413305441849985,81.54,69.0,20.0,12.75
20,mataura,pf,-69.98075783200576,-153.41256228995294,55.73,76.0,0.0,17.72
21,biltine,td,17.367644931539246,22.433542345904414,68.24,96.0,64.0,8.43
22,ugoofaaru,mv,6.533722646915706,63.12016423147773,80.57,100.0,88.0,13.8
23,taltal,cl,-25.239982767033865,-82.53428348706855,55.01,89.0,0.0,2.17
24,bluff,nz,-47.78557058132479,167.6181747753497,68.69,71.0,44.0,4.52
25,vaini,to,-24.655335357774163,-175.99848720356886,67.43,98.0,92.0,6.42
27,yellowknife,ca,60.272968691739976,-111.97468203828964,51.8,71.0,75.0,10.29
28,punta arenas,cl,-76.93775384362857,-95.37490345798007,42.8,75.0,75.0,10.29
29,narsaq,gl,79.32470756890211,-64.99067609579062,44.6,81.0,75.0,4.7
30,rikitea,pf,-37.0958757627099,-130.6875570070861,72.83,100.0,0.0,13.8
31,netanya,il,32.849336354186036,33.16782560145447,78.8,74.0,40.0,3.36
32,hermanus,za,-63.516655552619284,5.3500136840026755,45.29,99.0,92.0,11.79
33,tommot,ru,57.807644674421994,128.08881238128407,52.22,100.0,92.0,3.96
34,dingle,ie,52.65478674567777,-19.446148046031396,81.2,79.0,76.0,5.53
35,itarema,br,1.7236331795382114,-38.54570663870342,78.5,78.0,0.0,16.71
36,butaritari,ki,18.114832541613495,161.60425451553107,85.16,100.0,68.0,6.76
37,port alfred,za,-71.28955482756054,42.66897519962481,59.96,95.0,0.0,7.54
38,orcopampa,pe,-15.311675306510296,-72.53248877393979,32.69,69.0,56.0,1.95
40,hobart,au,-65.362185729245,144.48496179441923,50.0,57.0,75.0,14.99
42,schleswig,de,54.64981895135975,9.65023995556956,52.25,76.0,88.0,8.05
43,angoche,mz,-17.18118267869798,40.227052343112234,75.08,100.0,0.0,7.54
44,rikitea,pf,-64.24484534052469,-140.1366723599106,72.83,100.0,0.0,13.8
45,ariquemes,br,-9.955343273167287,-63.60872359545644,72.56,87.0,56.0,3.96
46,ler,sd,8.3134517289337,29.8264961237561,50.0,87.0,75.0,12.75
47,paamiut,gl,64.20815309931706,-48.3511070631391,43.85,92.0,56.0,19.84
48,marsa matruh,eg,27.778345170055047,26.317111383438345,77.0,83.0,0.0,4.7
49,kruisfontein,za,-54.91239371734617,25.737771018698595,57.89,77.0,0.0,15.59
50,constitucion,mx,21.24935855769307,-114.91201804207716,82.4,30.0,75.0,5.82
51,rikitea,pf,-58.13490914989178,-129.95677204374226,72.83,100.0,0.0,13.8
52,isangel,vu,-18.06190815819069,176.2027871117681,73.19,100.0,20.0,16.6
53,east london,za,-64.17561156001855,46.67375738555265,68.87,94.0,44.0,13.02
54,teahupoo,pf,-19.495124004447163,-148.9249467442636,80.6,69.0,75.0,5.82
55,aklavik,ca,69.07054942190959,-139.4777507430663,54.37,81.0,75.0,9.17
56,lebedyn,ua,50.24965602130314,34.32985909547247,55.73,46.0,0.0,6.53
58,ribeira grande,pt,28.308072438261306,-38.14471038309097,73.82,100.0,0.0,9.22
59,hithadhoo,mv,-14.164672052906667,82.61638134195181,80.3,100.0,36.0,7.43
60,yangliuqing,cn,38.95113981831747,116.99788705835829,78.8,61.0,0.0,4.47
61,narsaq,gl,82.98073750990369,-65.60444557324946,44.6,81.0,75.0,4.7
62,brae,gb,66.11337811470895,-2.2174114584341282,51.8,81.0,92.0,12.75
63,bathsheba,bb,17.707480499603363,-47.817296946380424,80.6,74.0,20.0,17.22
64,thompson,ca,64.5969265494175,-98.81219915978056,46.4,93.0,90.0,5.82
65,bambous virieux,mu,-31.600478920460155,71.96788191356484,73.4,69.0,40.0,11.41
66,carnarvon,au,-17.852067455071037,107.86457257139676,36.92,79.0,0.0,13.69
67,busselton,au,-61.50995975361438,93.36400082907613,53.39,100.0,88.0,8.21
68,chokurdakh,ru,78.52381574356377,150.93122903997875,44.03,94.0,92.0,8.43
69,marawi,sd,21.09147895174334,28.42692262861675,75.17,87.0,20.0,2.62
70,albany,au,-89.67186027206505,111.98708767572202,74.21,50.0,75.0,10.29
71,bredasdorp,za,-87.12813857351529,12.756914003884702,50.0,81.0,76.0,14.99
72,nantucket,us,39.54602481532507,-70.72234404339909,67.01,83.0,1.0,4.7
73,alofi,nu,-19.533505029883543,-165.9240724848712,73.4,94.0,76.0,12.75
75,cape town,za,-62.63383102306913,-8.49567437363848,50.0,71.0,75.0,19.46
76,praia da vitoria,pt,45.67477516850258,-22.37232898504189,71.6,88.0,20.0,10.22
77,new norfolk,au,-64.39797739131606,127.04676413557064,50.0,57.0,75.0,14.99
78,nabire,id,-2.36337150681463,134.57394975536175,71.21,93.0,80.0,1.16
79,rikitea,pf,-16.710207725193683,-127.5687630595252,72.83,100.0,0.0,13.8
80,rikitea,pf,-84.8876702162929,-135.39204421779624,72.83,100.0,0.0,13.8
81,levelland,us,33.573904122273305,-102.76480323811455,95.0,27.0,40.0,14.99
82,nebolchi,ru,58.97812306909347,33.3525553756007,67.25,58.0,32.0,7.76
83,jamestown,sh,-16.259327727344484,-1.0936155674210113,52.85,64.0,8.0,3.96
84,touros,br,1.5685455709047602,-32.90071801801474,75.44,97.0,100.0,16.49
85,trinidad,bo,-14.343258334944181,-64.44943312639603,46.4,61.0,0.0,6.93
86,arraial do cabo,br,-30.09262873839792,-37.06101702393653,71.6,88.0,75.0,3.36
87,punta arenas,cl,-70.5754114435949,-81.11035112679971,42.8,75.0,75.0,10.29
89,busselton,au,-69.52925337492883,79.73674379622685,53.39,100.0,88.0,8.21
90,balaipungut,id,0.9862171704531306,101.21513862473597,75.26,89.0,36.0,2.62
92,mataura,pf,-77.11918889407806,-148.24206773738416,55.73,76.0,0.0,17.72
93,tasiilaq,gl,79.75645263954465,-36.12159502054405,41.87,100.0,88.0,0.04
94,ushuaia,ar,-58.33172774466719,-66.05580655304183,39.2,80.0,75.0,4.7
95,arraial do cabo,br,-54.997998420321245,-18.226436987134747,71.6,88.0,75.0,3.36
96,esperance,au,-42.9136893305443,122.85887290234905,80.6,83.0,20.0,6.93
98,nishihara,jp,20.989514535224785,132.80774168088095,85.48,69.0,1.0,3.51
99,scalea,it,39.967643259149696,15.500419174629485,78.32,97.0,8.0,11.79
100,aden,ye,11.861366036377348,44.77332982426674,80.3,89.0,0.0,9.1
101,half moon bay,us,30.36483140814603,-138.17873709645275,74.26,82.0,75.0,8.05
102,payson,us,38.99588481684083,-112.36618013023181,88.2,16.0,40.0,9.17
103,abha,sa,20.384137918060105,44.4168998464462,73.27,47.0,0.0,0.38
104,sao francisco,br,-16.447047426961007,-44.982028377669025,54.5,47.0,0.0,6.93
105,mahenge,tz,-8.70084256796946,37.562826006831415,68.6,83.0,76.0,5.19
106,mar del plata,ar,-63.90868934376386,-28.678068384473022,60.23,45.0,32.0,25.55
107,rikitea,pf,-43.3789796090351,-107.81065565939231,72.83,100.0,0.0,13.8
108,saskylakh,ru,81.68805716821024,110.05225162394112,47.99,90.0,0.0,5.97
109,rikitea,pf,-58.146224628946236,-129.71173006255796,72.83,100.0,0.0,13.8
110,karratha,au,-17.06159313261115,112.86059979427102,58.07,31.0,0.0,14.03
111,viedma,ar,-41.15545519650506,-61.502518471064235,49.43,38.0,0.0,11.01
112,chokurdakh,ru,83.06668911907437,147.0471742704387,44.03,94.0,92.0,8.43
113,bredasdorp,za,-70.1057291700951,18.37207566692379,50.0,81.0,76.0,14.99
114,yellowknife,ca,61.30019663204894,-111.32256426441076,51.8,71.0,75.0,10.29
115,georgetown,sh,-0.8528236588771279,-20.84134531057478,82.4,78.0,20.0,11.41
116,srednekolymsk,ru,65.94477408772073,154.35722098252967,40.25,77.0,92.0,5.97
117,antofagasta,cl,-22.6302852118706,-74.78648153547834,55.4,76.0,75.0,4.7
118,butaritari,ki,18.14138111986047,160.71814687029325,85.16,100.0,68.0,6.76
119,piacabucu,br,-13.056936901715048,-34.21955728839663,74.18,82.0,92.0,9.55
120,punta arenas,cl,-59.72061657192297,-96.34270426425277,42.8,75.0,75.0,10.29
122,pacific grove,us,28.50904481731847,-131.7666482550781,66.69,72.0,40.0,8.05
123,isangel,vu,-18.93737859577675,174.9422354830715,73.19,100.0,20.0,16.6
125,jamestown,sh,-13.394604512436047,-2.1044099319856286,52.85,64.0,8.0,3.96
126,at-bashi,kg,41.69575011112178,74.94145126695247,36.92,84.0,80.0,0.6
127,tiksi,ru,83.3254557985342,130.81882709293353,46.82,99.0,0.0,3.06
128,esperance,au,-50.23270954999808,125.74520244820133,80.6,83.0,20.0,6.93
129,arraial do cabo,br,-40.79233041790245,-25.736036453960395,71.6,88.0,75.0,3.36
130,xuzhou,cn,34.358978973492796,117.00798192597574,75.53,85.0,0.0,8.43
131,georgetown,sh,-12.980464801936165,-21.858726929693802,82.4,78.0,20.0,11.41
132,ribeira grande,pt,43.33591917003153,-34.58614680002171,73.82,100.0,0.0,9.22
133,barrow,us,82.22131971829626,-144.14751029968528,37.46,47.0,0.0,3.06
134,ushuaia,ar,-71.97986738266104,-37.36238461874137,39.2,80.0,75.0,4.7
136,bluff,nz,-60.520655788756436,159.18823732079323,68.69,71.0,44.0,4.52
137,petropavlovsk-kamchatskiy,ru,48.04439817044448,163.91679075050666,57.2,76.0,64.0,4.47
138,tiksi,ru,71.42734562574157,129.51101446866232,46.82,99.0,0.0,3.06
141,albany,au,-72.76510850739567,112.039186563324,74.21,50.0,75.0,10.29
142,klaksvik,fo,68.0928117132782,-5.983117261048136,46.4,87.0,92.0,7.76
143,kondinskoye,ru,60.809342148792496,68.46159276780426,57.35,86.0,32.0,7.54
144,saskylakh,ru,86.33729009943968,110.62512971449183,47.99,90.0,0.0,5.97
145,coquimbo,cl,-27.201088895108853,-78.1016498009906,53.6,76.0,0.0,8.05
146,abrau-dyurso,ru,43.37124059328306,36.912534284415415,71.6,73.0,0.0,4.47
147,bikaner,in,27.903658831403263,72.68801331411822,83.18,68.0,0.0,10.11
148,mount isa,au,-20.66792310195106,138.01962051814587,66.2,32.0,0.0,10.29
149,port keats,au,-13.152924424614184,128.17591997619655,74.9,47.0,0.0,6.98
150,coquimbo,cl,-27.193131457499298,-87.94698966700852,53.6,76.0,0.0,8.05
151,mbeya,tz,-8.840159823963603,33.201047463163945,46.1,89.0,0.0,3.4
152,albany,au,-73.80671044004086,108.6027542953637,74.21,50.0,75.0,10.29
153,rikitea,pf,-75.36729050194548,-132.87254665968192,72.83,100.0,0.0,13.8
154,iqaluit,ca,61.14118159497164,-64.99716440978885,42.8,87.0,40.0,2.24
155,salalah,om,20.192360786896742,53.91642424848959,73.4,100.0,90.0,5.82
156,woodward,us,36.83266092838447,-99.55697880131422,90.37,38.0,1.0,17.22
157,tucupita,ve,9.523543244010952,-62.32938237836875,82.01,71.0,12.0,9.44
158,punta arenas,cl,-75.57587584190445,-103.00797671138025,42.8,75.0,75.0,10.29
159,blythe,us,33.60413955374892,-114.01806762495679,105.08,22.0,1.0,16.11
160,rikitea,pf,-45.80664068449876,-127.32448296964523,72.83,100.0,0.0,13.8
161,kahului,us,34.98849788247233,-149.89023420248878,82.08,65.0,75.0,16.11
163,newport,us,44.85179045435282,-126.79747417155976,54.32,81.0,68.0,5.82
164,umri,in,26.469551051911708,79.3029286847065,75.89,99.0,92.0,6.98
165,naze,jp,22.673574736335823,134.853709900343,78.8,78.0,20.0,2.24
166,bonthe,sl,0.9910498540441921,-20.958048339257886,73.73,100.0,92.0,6.76
167,provideniya,ru,54.63644825233365,-173.33259026713017,47.81,95.0,56.0,12.01
169,lebu,cl,-35.237983211443954,-101.05833456906255,55.4,93.0,75.0,4.7
170,rikitea,pf,-67.77614973783747,-124.42365616462206,72.83,100.0,0.0,13.8
171,punta arenas,cl,-83.20018496727839,-108.14769513658803,42.8,75.0,75.0,10.29
172,karnobat,bg,42.67815207192035,27.038496746927308,68.0,88.0,0.0,2.73
173,yeppoon,au,-22.15743572498431,152.40413785238331,71.6,73.0,75.0,8.05
174,port alfred,za,-68.64919819833557,37.038342751143034,59.96,95.0,0.0,7.54
175,arraial do cabo,br,-51.11996086391132,-17.808371997106747,71.6,88.0,75.0,3.36
176,castro,cl,-45.91825283996277,-89.80761388679709,49.88,97.0,92.0,8.66
177,sinop,tr,42.9448743015372,34.7909432454602,75.44,97.0,8.0,9.22
178,malpe,in,13.309531871762829,73.73089813385769,75.2,94.0,75.0,3.36
179,butaritari,ki,23.962569362304905,177.99547346011303,85.16,100.0,68.0,6.76
180,khatanga,ru,79.92477482194224,102.41585410665368,52.4,76.0,20.0,13.47
181,port alfred,za,-89.28228605689563,43.86519429544123,59.96,95.0,0.0,7.54
182,barrow,us,78.53275246409294,-165.35777291252117,37.46,47.0,0.0,3.06
183,vao,nc,-27.447203038038637,169.13430453332313,57.08,96.0,92.0,2.62
184,jatai,br,-17.76595503752816,-51.346344108207205,77.15,92.0,44.0,3.51
185,markova,ru,58.29180769001417,106.76321429747628,46.4,100.0,0.0,4.47
186,ushuaia,ar,-81.09283536217025,-81.08255904043428,39.2,80.0,75.0,4.7
187,kapaa,us,29.492345929350464,-156.59226693722377,80.76,100.0,90.0,21.92
188,korgen,no,66.28186227676534,13.864454853725505,39.2,100.0,92.0,3.36
189,padang,id,-3.828723340463185,93.0107689447629,79.22,100.0,68.0,4.63
191,saskylakh,ru,76.686658280154,118.2997957677357,47.99,90.0,0.0,5.97
192,klaksvik,fo,70.31322709923069,-1.3634015053845019,46.4,87.0,92.0,7.76
193,lima,pe,-13.047963889051232,-79.25835150404049,61.04,64.0,68.0,2.06
194,noumea,nc,-28.61268640052885,164.49012131006106,68.0,72.0,0.0,6.08
195,hobart,au,-49.419797231614695,152.02336561198126,50.0,57.0,75.0,14.99
196,kaitangata,nz,-59.210123976919974,176.00388990364075,55.01,72.0,0.0,21.63
197,longyearbyen,sj,81.5248618521278,17.055615030986985,35.6,74.0,40.0,16.11
198,hilo,us,29.361469133199336,-147.03099824897038,75.92,97.0,90.0,6.93
199,nuevo progreso,mx,23.36953055539354,-96.390611778846,94.19,36.0,40.0,13.87
200,carnarvon,au,-25.625374440345638,96.15273560052441,36.92,79.0,0.0,13.69
201,bluff,nz,-71.21988879330752,156.4903992011474,68.69,71.0,44.0,4.52
203,jamestown,sh,-27.194113011892078,-15.67513463878035,52.85,64.0,8.0,3.96
205,ukiah,us,38.5077267724175,-125.15249399039246,89.96,22.0,1.0,9.17
206,grand-santi,gf,2.913045931185607,-56.66162505937227,78.32,79.0,36.0,3.74
207,grindavik,is,56.777152944006616,-25.767760774608263,46.87,81.0,20.0,8.05
208,albany,au,-63.1065998747069,107.49702256506919,74.21,50.0,75.0,10.29
210,ushuaia,ar,-60.203851359514104,-57.999700027660026,39.2,80.0,75.0,4.7
211,westport,nz,-40.19328682112955,168.18120271801263,52.4,92.0,92.0,9.44
212,marsa matruh,eg,31.577100134967935,28.097215942257463,77.0,83.0,0.0,4.7
213,acapulco,mx,10.115127132583936,-103.33625568585217,87.8,66.0,20.0,11.41
214,saskylakh,ru,83.67628662347985,110.1964673904481,47.99,90.0,0.0,5.97
215,manggar,id,-2.084081461420027,108.66653877945436,81.65,82.0,36.0,8.55
216,saint-philippe,re,-64.14358807803552,71.94848188567761,77.32,47.0,75.0,13.87
217,kokkola,fi,64.55555715692051,23.556005951177724,48.2,93.0,0.0,5.82
218,punta arenas,cl,-67.44641765272735,-85.92357317734921,42.8,75.0,75.0,10.29
220,padang,id,-5.243306131643706,94.98446983901152,79.22,100.0,68.0,4.63
221,hobart,au,-59.99047613669291,154.47621847852895,50.0,57.0,75.0,14.99
223,upernavik,gl,70.35510038778841,-60.75968666387344,39.35,97.0,92.0,22.08
224,upernavik,gl,86.46163281689729,-55.231458748876165,39.35,97.0,92.0,22.08
225,bodmin,gb,50.8908642968332,-5.104261711344748,54.92,91.0,80.0,8.66
226,askiz,ru,52.963130128232365,90.55449958539623,52.49,87.0,8.0,2.62
227,nome,us,58.593781469831185,-168.85439534715545,91.36,52.0,1.0,8.05
229,kahului,us,31.901388021962674,-152.4317977644299,82.08,65.0,75.0,16.11
230,honiara,sb,-11.691681433182168,159.08994807442758,80.6,83.0,90.0,18.34
231,kapaa,us,16.730252916348732,-161.70861716134266,80.76,100.0,90.0,21.92
232,busselton,au,-50.47669630802612,93.57687269782195,53.39,100.0,88.0,8.21
233,rio grande,br,-46.83884286746392,-35.833659376780446,48.62,92.0,8.0,21.07
234,atuona,pf,-5.240002083935835,-143.93990031501235,78.86,100.0,100.0,19.62
235,airai,pw,8.978690529018806,135.57042398200957,72.38,74.0,0.0,1.5
237,vao,nc,-28.846283390741064,167.48022500767206,57.08,96.0,92.0,2.62
238,fort nelson,ca,59.56729729403904,-126.80518930856793,57.2,87.0,75.0,4.7
239,yulara,au,-29.648790530773645,128.7594404019739,53.6,32.0,0.0,5.82
240,sarangani,ph,3.5589425077849626,126.23536120418623,82.19,100.0,32.0,1.5
241,tasiilaq,gl,71.38141679433608,-36.57314303023142,41.87,100.0,88.0,0.04
242,hobart,au,-79.74644306024658,138.43322071801612,50.0,57.0,75.0,14.99
243,soubre,ci,5.355382048430997,-7.01531371058519,70.49,100.0,92.0,5.64
245,esperance,au,-36.36389366898547,124.06246036992286,80.6,83.0,20.0,6.93
246,hobart,au,-75.8677392646754,142.68388026930393,50.0,57.0,75.0,14.99
247,punta arenas,cl,-62.763169079672764,-112.38333682213985,42.8,75.0,75.0,10.29
249,vaini,to,-18.941884127823457,-179.7261758712952,67.43,98.0,92.0,6.42
250,lorengau,pg,0.5129219520769368,147.45386968369388,82.64,100.0,12.0,2.62
251,rikitea,pf,-39.61357121997478,-134.67077648658747,72.83,100.0,0.0,13.8
252,coron,ph,12.026896174209085,120.30567072479232,48.2,81.0,0.0,2.95
253,mataura,pf,-70.94592446347414,-154.18788633354166,55.73,76.0,0.0,17.72
254,vaini,to,-51.663266984297955,-169.64000856344586,67.43,98.0,92.0,6.42
256,hobart,au,-53.922640236305426,153.14357877514863,50.0,57.0,75.0,14.99
257,hofn,is,65.57121740510317,-13.153362949056174,44.39,100.0,48.0,9.66
258,avarua,ck,-33.05703822641095,-163.6042842489383,78.8,83.0,20.0,11.41
259,bambous virieux,mu,-33.21785060773492,76.98169728857476,73.4,69.0,40.0,11.41
260,cockburn town,tc,21.9708609920321,-69.64956083718762,83.72,96.0,44.0,17.6
261,nikolskoye,ru,40.45630881936532,175.760164411556,59.0,93.0,90.0,13.42
262,kortkeros,ru,62.20637672099659,52.167275568674796,39.2,100.0,20.0,1.72
263,sarangani,ph,3.521942192366467,125.1250946477715,82.19,100.0,32.0,1.5
264,alugan,ph,15.805079993466492,129.96082336579707,81.56,99.0,76.0,3.4
265,bethel,us,47.7096648056409,-161.86922854659994,55.04,89.0,90.0,6.93
266,saskylakh,ru,81.47238844989553,114.22501945459254,47.99,90.0,0.0,5.97
267,chokurdakh,ru,72.54327249063772,149.3459591207386,44.03,94.0,92.0,8.43
268,chokurdakh,ru,77.73022491952952,148.74596487602713,44.03,94.0,92.0,8.43
269,barrow,us,72.60831555514412,-150.49822586107513,37.46,47.0,0.0,3.06
270,leh,in,34.970590375802345,81.11590612251638,31.34,91.0,88.0,1.72
274,richards bay,za,-36.80191630915707,40.57694693160445,68.15,67.0,0.0,9.1
275,puerto ayora,ec,-0.2769274210205026,-100.01028379586872,75.2,69.0,75.0,14.99
276,kahului,us,33.523444854752086,-146.41715538171178,82.08,65.0,75.0,16.11
277,hofn,is,62.82266502066932,-11.727639145362616,44.39,100.0,48.0,9.66
278,tasiilaq,gl,77.59832000751626,-34.86424722799282,41.87,100.0,88.0,0.04
279,cidreira,br,-43.78159300673374,-32.197892777070564,50.33,75.0,32.0,15.82
281,bredasdorp,za,-68.27981857221597,20.0800893971072,50.0,81.0,76.0,14.99
282,ketchikan,us,56.827450330984874,-131.28712106577026,63.01,60.0,90.0,16.11
284,ushuaia,ar,-80.94098878376211,-49.676962605529184,39.2,80.0,75.0,4.7
285,sao felix do xingu,br,-6.2746121336514165,-50.73855810560724,82.1,59.0,0.0,4.41
286,tiksi,ru,88.75974009520132,129.48245839119312,46.82,99.0,0.0,3.06
287,bluff,nz,-78.95096361739174,172.69741704334962,68.69,71.0,44.0,4.52
288,damietta,eg,32.563773721442175,32.30304076448877,78.8,88.0,0.0,6.93
289,talnakh,ru,68.66133137584998,94.41474961539188,51.5,91.0,56.0,3.4
290,bilma,ne,22.05223603468022,12.738909031163615,83.9,48.0,0.0,11.45
291,flinders,au,-34.245230519013404,129.09092164417285,53.6,87.0,40.0,10.29
292,clyde river,ca,69.71128384171791,-78.54610404123233,41.0,80.0,75.0,13.87
293,port elizabeth,za,-70.81401372854813,33.78944311682312,75.49,68.0,1.0,5.82
294,butaritari,ki,14.750198952598979,169.40020133084045,85.16,100.0,68.0,6.76
295,isangel,vu,-16.8146964831368,173.70142982657626,73.19,100.0,20.0,16.6
296,portland,au,-45.534230423012374,137.31422368014915,69.42,48.0,90.0,4.7
297,pathein,mm,16.888019820287482,92.95953149336339,76.07,98.0,92.0,10.11
298,fereydunshahr,ir,32.855424954803894,49.743938618331555,60.41,41.0,0.0,3.06
299,atuona,pf,4.060510130041706,-132.04716809539212,78.86,100.0,100.0,19.62
301,buzdyak,ru,54.4295603726253,54.47488833963692,52.04,94.0,0.0,7.54
302,puerto ayora,ec,-18.094993282796253,-108.37731363524698,75.2,69.0,75.0,14.99
303,rikitea,pf,-63.189471103641296,-138.02438748384876,72.83,100.0,0.0,13.8
304,tuktoyaktuk,ca,86.74162297050228,-136.95926065864302,51.8,62.0,40.0,5.82
